Family,Name,Base Ticker,Dissemination(s),Learn more
Benchmark Reference Rate,Kaiko AEVO Reference Rate,KK_RFR_AEVOUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_AEVOUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko AIR Reference Rate,KK_RFR_AIRUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_AIRUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko ASTR Reference Rate,KK_RFR_ASTRUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_ASTRUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko CAKE Reference Rate,KK_RFR_CAKEUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_CAKEUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko FORTH Reference Rate,KK_RFR_FORTHUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_FORTHUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko GTC Reference Rate,KK_RFR_GTCUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_GTCUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko LDO Reference Rate,KK_RFR_LDOUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_LDOUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko ONDO Reference Rate,KK_RFR_ONDOUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_ONDOUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko PERP Reference Rate,KK_RFR_PERPUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_PERPUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko STG Reference Rate,KK_RFR_STGUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_STGUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko VTHO Reference Rate ,KK_RFR_VTHOUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_VTHOUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko UNFI Reference Rate,KK_RFR_UNFIUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_UNFIUSD"" target=""_blank"">Explore performance</a>"
